[2025-11-02 08:10:15] [INFO    ] discord.client: logging in using static token
[2025-11-02 08:10:16] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-11-02 08:10:16] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-11-02 08:10:16] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1433664608559829032', 'username': 'Binky', 'avatar': 'ce65154a5aee89446f326bfc02c9b90d', 'discriminator': '9726', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': 'a_c86b1d665f06e151b71e603283131a3e', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-11-02 08:10:17] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-11-02 08:10:17] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-11-02 08:10:17] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1433664608559829032', 'name': 'Binky', 'icon': 'ce65154a5aee89446f326bfc02c9b90d', 'description': 'A robot yo!', 'type': None, 'bot': {'id': '1433664608559829032', 'username': 'Binky', 'avatar': 'ce65154a5aee89446f326bfc02c9b90d', 'discriminator': '9726', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': 'a_c86b1d665f06e151b71e603283131a3e', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '75c0234c6ef46dfdada81b87da71c162ed0c4ff239dadd0c8dac8becf072f11c', 'flags': 565248, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '743864321456734402', 'username': 'ruka6953', 'avatar': 'e8e172fae0bd9e66dae9927ce263d332', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': 6230140, 'global_name': 'Spider', 'avatar_decoration_data': {'asset': 'a_fd62990f5ae21ad00e9e23601b483bb3', 'sku_id': '1428459896847732788', 'expires_at': 1766451600}, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#5f107c', 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 1, 'approximate_user_install_count': 1, 'approximate_user_authorization_count': 1, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 228, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'bot_approximate_guild_count': 1, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2025-11-02 08:10:17] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-11-02 08:10:17] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-b-2ghg",{"micros":0.0}]']}}
[2025-11-02 08:10:17] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-11-02 08:10:17] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-11-02 08:10:17] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'Binky', 'primary_guild': None, 'mfa_enabled': False, 'id': '1433664608559829032', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '9726', 'clan': None, 'bot': True, 'avatar': 'ce65154a5aee89446f326bfc02c9b90d'}, 'session_type': 'normal', 'session_id': '337ddaac6402c41d7c927053ceacc182', 'resume_gateway_url': 'wss://gateway-us-east1-b.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1125984601349828661'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['hongkong', 'singapore', 'japan', 'india', 'sydney'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1433664608559829032', 'flags': 565248}, '_trace': ['["gateway-prd-arm-us-east1-b-2ghg",{"micros":108631,"calls":["id_created",{"micros":561,"calls":[]},"session_lookup_time",{"micros":347,"calls":[]},"session_lookup_finished",{"micros":11,"calls":[]},"discord-sessions-prd-2-4",{"micros":107120,"calls":["start_session",{"micros":91212,"calls":["discord-api-rpc-75d66748db-w4lpt",{"micros":80901,"calls":["get_user",{"micros":36081},"get_guilds",{"micros":4496},"send_scheduled_deletion_message",{"micros":16},"guild_join_requests",{"micros":9690},"authorized_ip_coro",{"micros":14},"pending_payments",{"micros":558},"apex_experiments",{"micros":5},"user_activities",{"micros":3},"played_application_ids",{"micros":2},"linked_users",{"micros":2}]}]},"starting_guild_connect",{"micros":33,"calls":[]},"presence_started",{"micros":348,"calls":[]},"guilds_started",{"micros":65,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":15439,"calls":[]},"connect_finished",{"micros":15448,"calls":[]},"build_ready",{"micros":11,"calls":[]},"clean_ready",{"micros":0,"calls":[]},"optimize_ready",{"micros":1,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2025-11-02 08:10:17] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-11-02 08:10:17] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 337ddaac6402c41d7c927053ceacc182).
[2025-11-02 08:10:17] [DEBUG   ] discord.client: Dispatching event connect
